text,label
"""Scientists discover groundbreaking cure for rare genetic disorder.""",real
"""Miracle pill guarantees instant weight loss without exercise.""",fake
"""Aliens secretly control world governments through mind control.""",fake
"""Global climate conference outlines new sustainability strategies.""",fake
"""Revolutionary AI technology improves medical diagnostics.""",real
"""Prehistoric dinosaurs discovered alive in remote jungle.""",real
"""Exclusive interview with time travelers reveals secrets of the future.""",real
"""International space mission reveals complex planetary ecosystem.""",fake
"""Celebrity claims the Earth is flat in shocking interview.""",real
"""UN releases comprehensive report on global poverty reduction.""",real
